video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task1_act_100.webm,task1,act,100,rollout,1,1,1,0.5,20.5,20.0,,,판정 보류 -- 사람 확인 필요
task1_act_100.webm,task1,act,100,rollout,1,2,2,68.25,92.75,24.5,,,판정 보류 -- 사람 확인 필요
task1_act_100.webm,task1,act,100,rollout,2,1,3,154.25,209.0,54.75,,,판정 보류 -- 사람 확인 필요
task1_act_100.webm,task1,act,100,rollout,2,2,4,257.5,290.5,33.0,,,판정 보류 -- 사람 확인 필요
task1_act_100.webm,task1,act,100,rollout,3,1,5,355.0,387.25,32.25,,,판정 보류 -- 사람 확인 필요
task1_act_100.webm,task1,act,100,rollout,3,2,6,452.25,480.75,28.5,,,판정 보류 -- 사람 확인 필요
task1_act_100.webm,task1,act,100,rollout,4,1,7,527.75,573.0,45.25,,,판정 보류 -- 사람 확인 필요
task1_act_100.webm,task1,act,100,rollout,4,2,8,611.75,640.5,28.75,,,판정 보류 -- 사람 확인 필요
task1_act_100.webm,task1,act,100,rollout,5,1,9,702.0,725.75,23.75,,,판정 보류 -- 사람 확인 필요
task1_act_100.webm,task1,act,100,rollout,5,2,10,782.5,816.5,34.0,,,판정 보류 -- 사람 확인 필요
