video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task2_act_200.webm,task2,act,200,rollout,1,1,1,30.25,80.5,50.25,,,판정 보류 -- 사람 확인 필요
task2_act_200.webm,task2,act,200,rollout,1,2,2,155.75,180.25,24.5,,,판정 보류 -- 사람 확인 필요
task2_act_200.webm,task2,act,200,rollout,2,1,3,235.5,285.25,49.75,,,판정 보류 -- 사람 확인 필요
task2_act_200.webm,task2,act,200,rollout,2,2,4,324.25,412.0,87.75,,,판정 보류 -- 사람 확인 필요
task2_act_200.webm,task2,act,200,rollout,3,1,5,482.25,550.75,68.5,,,판정 보류 -- 사람 확인 필요
task2_act_200.webm,task2,act,200,rollout,3,2,6,623.75,701.75,78.0,,,판정 보류 -- 사람 확인 필요
task2_act_200.webm,task2,act,200,rollout,4,1,7,799.5,940.25,140.75,,,판정 보류 -- 사람 확인 필요
task2_act_200.webm,task2,act,200,rollout,4,2,8,987.25,1073.0,85.75,,,판정 보류 -- 사람 확인 필요
task2_act_200.webm,task2,act,200,rollout,5,1,9,1139.5,1223.75,84.25,,,판정 보류 -- 사람 확인 필요
task2_act_200.webm,task2,act,200,rollout,5,2,10,1326.5,1440.0,113.5,,,판정 보류 -- 사람 확인 필요
task2_act_200.webm,task2,act,200,rollout,6,1,11,1528.0,1693.25,165.25,,,판정 보류 -- 사람 확인 필요
