video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task3_act_200.webm,task3,act,200,rollout,1,1,1,33.5,62.25,28.75,,,판정 보류 -- 사람 확인 필요
task3_act_200.webm,task3,act,200,rollout,1,2,2,131.75,164.0,32.25,,,판정 보류 -- 사람 확인 필요
task3_act_200.webm,task3,act,200,rollout,2,1,3,232.0,263.75,31.75,,,판정 보류 -- 사람 확인 필요
task3_act_200.webm,task3,act,200,rollout,2,2,4,323.5,352.5,29.0,,,판정 보류 -- 사람 확인 필요
task3_act_200.webm,task3,act,200,rollout,3,1,5,409.25,441.5,32.25,,,판정 보류 -- 사람 확인 필요
task3_act_200.webm,task3,act,200,rollout,3,2,6,504.5,532.25,27.75,,,판정 보류 -- 사람 확인 필요
task3_act_200.webm,task3,act,200,rollout,4,1,7,589.75,619.25,29.5,,,판정 보류 -- 사람 확인 필요
task3_act_200.webm,task3,act,200,rollout,4,2,8,684.0,730.0,46.0,,,판정 보류 -- 사람 확인 필요
task3_act_200.webm,task3,act,200,rollout,5,1,9,820.25,852.25,32.0,,,판정 보류 -- 사람 확인 필요
task3_act_200.webm,task3,act,200,rollout,5,2,10,917.75,949.25,31.5,,,판정 보류 -- 사람 확인 필요
