video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task3_act_100.webm,task3,act,100,rollout,1,1,1,4.25,36.25,32.0,,,판정 보류 -- 사람 확인 필요
task3_act_100.webm,task3,act,100,rollout,1,2,2,104.0,129.5,25.5,,,판정 보류 -- 사람 확인 필요
task3_act_100.webm,task3,act,100,rollout,2,1,3,186.75,220.5,33.75,,,판정 보류 -- 사람 확인 필요
task3_act_100.webm,task3,act,100,rollout,2,2,4,291.75,320.5,28.75,,,판정 보류 -- 사람 확인 필요
task3_act_100.webm,task3,act,100,rollout,3,1,5,332.75,352.5,19.75,,,판정 보류 -- 사람 확인 필요
task3_act_100.webm,task3,act,100,rollout,3,2,6,397.25,493.75,96.5,,,판정 보류 -- 사람 확인 필요
task3_act_100.webm,task3,act,100,rollout,4,1,7,546.75,573.5,26.75,,,판정 보류 -- 사람 확인 필요
task3_act_100.webm,task3,act,100,rollout,4,2,8,629.25,655.0,25.75,,,판정 보류 -- 사람 확인 필요
task3_act_100.webm,task3,act,100,rollout,5,1,9,738.25,763.5,25.25,,,판정 보류 -- 사람 확인 필요
task3_act_100.webm,task3,act,100,rollout,5,2,10,845.5,959.75,114.25,,,판정 보류 -- 사람 확인 필요
task3_act_100.webm,task3,act,100,rollout,6,1,11,1008.25,1048.0,39.75,,,판정 보류 -- 사람 확인 필요
